epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,14562.8,0.10961,0.13483,0.7761,0.99844,0.98962,0.99403,0.99388,0.06759,0.08575,0.75862,0.003268,0.003268,0.003268
138,14668.9,0.10991,0.13407,0.77614,0.99845,0.98963,0.99403,0.99388,0.06757,0.0857,0.7586,0.0032185,0.0032185,0.0032185
139,14775.9,0.1093,0.13339,0.77599,0.99845,0.98965,0.99404,0.99389,0.06748,0.08565,0.75858,0.003169,0.003169,0.003169
140,14880.4,0.10888,0.13299,0.77593,0.9984,0.98973,0.99404,0.99389,0.06737,0.08544,0.75856,0.0031195,0.0031195,0.0031195
141,14984.1,0.10789,0.13139,0.77579,0.99839,0.98981,0.99404,0.99389,0.06731,0.08532,0.75853,0.00307,0.00307,0.00307
142,15087.7,0.10788,0.13174,0.77542,0.99841,0.98981,0.99405,0.9939,0.06719,0.08515,0.75852,0.0030205,0.0030205,0.0030205
143,15191.3,0.10742,0.13089,0.7752,0.99844,0.98979,0.99405,0.99391,0.06707,0.08494,0.7585,0.002971,0.002971,0.002971
144,15295.1,0.10725,0.13042,0.77573,0.99844,0.98982,0.99406,0.99392,0.06695,0.08478,0.75848,0.0029215,0.0029215,0.0029215
145,15399.1,0.10645,0.12886,0.77555,0.99845,0.98985,0.99406,0.99393,0.06683,0.08469,0.75845,0.002872,0.002872,0.002872
146,15503.3,0.10671,0.1295,0.77526,0.9985,0.98978,0.99407,0.99392,0.06686,0.08481,0.75843,0.0028225,0.0028225,0.0028225
147,15607.2,0.1063,0.12942,0.7758,0.9985,0.9898,0.99407,0.99393,0.06678,0.08475,0.75841,0.002773,0.002773,0.002773
148,15713.3,0.10588,0.12853,0.7751,0.99851,0.9898,0.99407,0.99393,0.06665,0.08465,0.75839,0.0027235,0.0027235,0.0027235
149,15819.1,0.10556,0.12791,0.77559,0.99854,0.98979,0.99408,0.99394,0.06653,0.08454,0.75836,0.002674,0.002674,0.002674
150,15921.7,0.10496,0.12726,0.77551,0.99852,0.98983,0.99408,0.99394,0.06652,0.0846,0.75835,0.0026245,0.0026245,0.0026245
151,16024.7,0.10444,0.12587,0.77509,0.99852,0.98983,0.99408,0.99394,0.06647,0.0845,0.75831,0.002575,0.002575,0.002575
152,16127.9,0.10501,0.12719,0.77506,0.99853,0.98982,0.99408,0.99394,0.06637,0.08437,0.75828,0.0025255,0.0025255,0.0025255
153,16230.8,0.10411,0.12586,0.77481,0.99855,0.98984,0.99408,0.99394,0.06628,0.08422,0.75825,0.002476,0.002476,0.002476
154,16333.4,0.10366,0.12563,0.77485,0.99857,0.9898,0.99408,0.99395,0.06625,0.08428,0.75822,0.0024265,0.0024265,0.0024265
155,16436.4,0.10344,0.12469,0.77493,0.99858,0.98979,0.99408,0.99394,0.06617,0.08427,0.75819,0.002377,0.002377,0.002377
156,16539.6,0.1032,0.12506,0.77472,0.99861,0.98971,0.99408,0.99395,0.06611,0.08419,0.75815,0.0023275,0.0023275,0.0023275
157,16643.4,0.10243,0.12262,0.77432,0.99865,0.98966,0.99408,0.99395,0.06597,0.08412,0.75813,0.002278,0.002278,0.002278
158,16747,0.10207,0.12297,0.77481,0.99867,0.98964,0.99408,0.99395,0.06589,0.08393,0.75811,0.0022285,0.0022285,0.0022285
159,16850,0.10133,0.12187,0.77459,0.99869,0.98963,0.99408,0.99395,0.06601,0.08417,0.75808,0.002179,0.002179,0.002179
160,16952.9,0.10146,0.12179,0.77453,0.99869,0.98962,0.99408,0.99395,0.06608,0.0844,0.75807,0.0021295,0.0021295,0.0021295
161,17055.9,0.1009,0.1217,0.77461,0.9987,0.98962,0.99408,0.99395,0.06608,0.08444,0.75805,0.00208,0.00208,0.00208
162,17158.8,0.10053,0.12053,0.77409,0.99871,0.98962,0.99408,0.99396,0.06608,0.08454,0.75804,0.0020305,0.0020305,0.0020305
163,17261.7,0.1006,0.12001,0.77433,0.99871,0.9896,0.99408,0.99396,0.06623,0.08485,0.75802,0.001981,0.001981,0.001981
164,17364.5,0.09952,0.11992,0.77389,0.99871,0.98963,0.99408,0.99395,0.06626,0.08503,0.758,0.0019315,0.0019315,0.0019315
165,17467.3,0.09934,0.11868,0.77413,0.99872,0.98963,0.99408,0.99396,0.06621,0.08482,0.75797,0.001882,0.001882,0.001882
166,17571,0.09902,0.11879,0.77413,0.99872,0.98964,0.99408,0.99395,0.06623,0.08472,0.75795,0.0018325,0.0018325,0.0018325
167,17674.1,0.0979,0.11671,0.77427,0.99873,0.98965,0.99408,0.99395,0.06637,0.08483,0.75794,0.001783,0.001783,0.001783
168,17777.1,0.09833,0.11669,0.7739,0.99874,0.98964,0.99408,0.99396,0.06638,0.08487,0.75791,0.0017335,0.0017335,0.0017335
169,17880,0.09784,0.11642,0.77396,0.99873,0.98966,0.99408,0.99397,0.06638,0.0849,0.75788,0.001684,0.001684,0.001684
170,17982.9,0.09698,0.11517,0.77402,0.99873,0.98968,0.99407,0.99395,0.06637,0.08481,0.75788,0.0016345,0.0016345,0.0016345
171,18085.9,0.09709,0.11598,0.77377,0.99869,0.98973,0.99407,0.99395,0.06638,0.08474,0.75784,0.001585,0.001585,0.001585
172,18188.8,0.09631,0.11402,0.77367,0.99869,0.98973,0.99407,0.99395,0.06643,0.08479,0.75781,0.0015355,0.0015355,0.0015355
173,18291.9,0.09596,0.11327,0.77331,0.99869,0.98973,0.99407,0.99394,0.0664,0.08481,0.75778,0.001486,0.001486,0.001486
174,18395,0.09566,0.11363,0.77413,0.99872,0.98969,0.99406,0.99394,0.06632,0.08451,0.75776,0.0014365,0.0014365,0.0014365
175,18498.1,0.09546,0.11267,0.77348,0.99869,0.98973,0.99406,0.99393,0.0663,0.08434,0.75774,0.001387,0.001387,0.001387
176,18601,0.09531,0.1128,0.7734,0.9987,0.98971,0.99406,0.99394,0.0665,0.08446,0.75774,0.0013375,0.0013375,0.0013375
177,18704,0.09495,0.11279,0.7738,0.9987,0.98972,0.99406,0.99394,0.06674,0.08454,0.75775,0.001288,0.001288,0.001288
178,18806.9,0.09432,0.11146,0.77345,0.99868,0.98973,0.99406,0.99394,0.06673,0.08435,0.75776,0.0012385,0.0012385,0.0012385
179,18910,0.0939,0.11075,0.77386,0.99872,0.98966,0.99406,0.99393,0.06688,0.08443,0.75776,0.001189,0.001189,0.001189
180,19013,0.09298,0.10948,0.77339,0.9987,0.98968,0.99406,0.99393,0.06704,0.08444,0.75777,0.0011395,0.0011395,0.0011395
181,19116.1,0.09295,0.10912,0.77346,0.99867,0.98975,0.99406,0.99394,0.06712,0.08435,0.75778,0.00109,0.00109,0.00109
182,19219,0.0924,0.10835,0.77344,0.99865,0.9898,0.99406,0.99395,0.0672,0.08428,0.75777,0.0010405,0.0010405,0.0010405
183,19322.6,0.09229,0.1074,0.7729,0.99863,0.98984,0.99406,0.99395,0.06742,0.0844,0.75776,0.000991,0.000991,0.000991
